0,City,Country,Latitude,Temperature,Humidity,Cloud Cover,Wind Speed,Date
<citipy.citipy.City object at 0x000001F1EA721080>,la ronge,ca,55.1,-18.41,68,75,5.82,1514653200
<citipy.citipy.City object at 0x000001F1EBD8C668>,asau,tv,,,,,,
<citipy.citipy.City object at 0x000001F1EB56DF98>,wewak,pg,-3.55,74.92,100,80,2.75,1514655884
<citipy.citipy.City object at 0x000001F1EA701780>,chapais,ca,49.78,-11.21,76,1,4.7,1514653200
<citipy.citipy.City object at 0x000001F1EB7B3978>,jiwani,pk,25.05,58.18,88,20,5.37,1514655885
<citipy.citipy.City object at 0x000001F1EB335C88>,bambous virieux,mu,-20.34,80.6,78,40,2.24,1514653200
<citipy.citipy.City object at 0x000001F1EB3E92E8>,pochutla,mx,15.74,83.91,94,75,4.81,1514652120
<citipy.citipy.City object at 0x000001F1EB0D5C88>,hasaki,jp,35.73,30,69,75,5.82,1514653200
<citipy.citipy.City object at 0x000001F1EBE50B70>,bethel,us,60.79,3.2,91,90,18.34,1514652780
<citipy.citipy.City object at 0x000001F1EBB77AC8>,nikolskoye,ru,59.7,33.8,100,90,4.47,1514653200
<citipy.citipy.City object at 0x000001F1EAE60CF8>,banswada,in,18.38,56.88,82,0,3.09,1514655887
<citipy.citipy.City object at 0x000001F1EB564240>,avera,pf,33.19,53.24,43,1,11.41,1514652900
<citipy.citipy.City object at 0x000001F1EB504240>,dargaville,nz,-35.94,57.37,78,44,4.65,1514655743
<citipy.citipy.City object at 0x000001F1EBB80240>,novikovo,ru,45.05,41.58,100,44,2.86,1514655888
<citipy.citipy.City object at 0x000001F1EB3087F0>,taolanaro,mg,,,,,,
<citipy.citipy.City object at 0x000001F1EA4A03C8>,namibe,ao,-15.19,73.03,98,12,8.9,1514655449
<citipy.citipy.City object at 0x000001F1EA4E1F28>,new norfolk,au,-42.78,57.2,58,40,11.41,1514651400
<citipy.citipy.City object at 0x000001F1EB857128>,airai,pw,-8.93,68.31,90,56,1.63,1514655391
<citipy.citipy.City object at 0x000001F1EAA6F4A8>,puerto ayora,ec,-0.74,80.6,57,20,14.99,1514653200
<citipy.citipy.City object at 0x000001F1EA7379E8>,prince rupert,ca,54.32,19.4,85,1,5.82,1514653200
<citipy.citipy.City object at 0x000001F1EA7AE400>,lebu,cl,8.96,57.2,47,0,13.87,1514653200
<citipy.citipy.City object at 0x000001F1EB2BB278>,hambantota,lk,6.12,78.61,100,92,5.82,1514655455
<citipy.citipy.City object at 0x000001F1EBA3FEB8>,amderma,ru,,,,,,
<citipy.citipy.City object at 0x000001F1EAAFBFD0>,klaksvik,fo,62.23,35.6,64,32,11.41,1514654400
<citipy.citipy.City object at 0x000001F1EA8E9B00>,praia,cv,-20.25,73,83,90,8.05,1514653200
<citipy.citipy.City object at 0x000001F1EABE0EF0>,peterhead,gb,-34.83,57.2,82,75,1.12,1514653200
<citipy.citipy.City object at 0x000001F1EA718278>,hay river,ca,60.82,-22.01,67,20,2.24,1514653200
<citipy.citipy.City object at 0x000001F1EBA5DD68>,belushya guba,ru,,,,,,
<citipy.citipy.City object at 0x000001F1EB510E48>,te anau,nz,-45.41,57.28,74,88,15.99,1514655571
<citipy.citipy.City object at 0x000001F1EB2F8BA8>,nador,ma,35.17,63.52,72,0,4.03,1514653200
<citipy.citipy.City object at 0x000001F1EA4DE940>,mackay,au,53.65,-24.71,67,5,5.82,1514653200
<citipy.citipy.City object at 0x000001F1EBD5FE10>,vaini,to,15.34,59.8,76,0,3.36,1514655413
<citipy.citipy.City object at 0x000001F1EB159C50>,grand island,us,40.92,3.2,65,90,10.29,1514654100
<citipy.citipy.City object at 0x000001F1EA753438>,tuktoyaktuk,ca,69.44,-2.19,75,20,3.36,1514653200
<citipy.citipy.City object at 0x000001F1EAE1A5C0>,dingle,ie,11,75.51,93,24,14.16,1514655550
<citipy.citipy.City object at 0x000001F1EB2B6B70>,batticaloa,lk,7.71,76.5,100,76,6.89,1514655895
<citipy.citipy.City object at 0x000001F1EADD78D0>,bengkulu,id,,,,,,
<citipy.citipy.City object at 0x000001F1EBC85278>,vrangel,ru,42.73,29.43,100,92,9.69,1514655461
<citipy.citipy.City object at 0x000001F1EA98C9E8>,gardelegen,de,52.53,44.6,100,90,17.22,1514650800
<citipy.citipy.City object at 0x000001F1EAB5AE80>,provins,fr,48.56,56.75,87,90,20.8,1514655000
<citipy.citipy.City object at 0x000001F1EC235048>,halalo,wf,,,,,,
<citipy.citipy.City object at 0x000001F1EB29EC88>,seoul,kr,37.57,33.08,90,90,5.82,1514654160
<citipy.citipy.City object at 0x000001F1EBA50438>,bagdarin,ru,54.44,-5.41,72,64,3.31,1514655898
<citipy.citipy.City object at 0x000001F1EBA40400>,anadyr,ru,64.73,-14.81,75,0,11.18,1514653200
<citipy.citipy.City object at 0x000001F1EA642358>,laguna,br,27.52,69.8,52,75,3.36,1514652360
<citipy.citipy.City object at 0x000001F1EA4EA6A0>,yulara,au,-25.24,73.4,88,90,8.05,1514653200
<citipy.citipy.City object at 0x000001F1EA746DD8>,shaunavon,ca,49.65,-17.56,70,68,5.1,1514655899
<citipy.citipy.City object at 0x000001F1EBB698D0>,mys shmidta,ru,,,,,,
<citipy.citipy.City object at 0x000001F1EA719B38>,kenora,ca,49.76,-23.81,67,20,5.82,1514654100
<citipy.citipy.City object at 0x000001F1EB462BA8>,henties bay,na,-22.12,67.05,85,0,4.25,1514655494
<citipy.citipy.City object at 0x000001F1EA7F10B8>,kuche,cn,,,,,,
<citipy.citipy.City object at 0x000001F1EB519240>,salalah,om,17.01,77,25,0,6.93,1514652600
<citipy.citipy.City object at 0x000001F1EB630828>,gigmoto,ph,13.78,77.08,100,88,20.42,1514655901
<citipy.citipy.City object at 0x000001F1EA727278>,matagami,ca,9.67,74.47,40,0,4.92,1514655524
<citipy.citipy.City object at 0x000001F1EB015D68>,vestmannaeyjar,is,63.44,35.6,69,75,23.04,1514654100
<citipy.citipy.City object at 0x000001F1EA75D828>,basoko,cd,1.23,77.04,85,32,4.76,1514655567
<citipy.citipy.City object at 0x000001F1EBE50C50>,college,us,64.86,-22.01,74,1,3.53,1514653080
<citipy.citipy.City object at 0x000001F1EB3FFDA0>,san quintin,mx,17.54,66.55,81,8,5.32,1514655607
<citipy.citipy.City object at 0x000001F1EB327D68>,thongwa,mm,16.76,78.8,83,20,3.36,1514653200
<citipy.citipy.City object at 0x000001F1EBABEBA8>,igrim,ru,63.19,23.85,87,8,9.13,1514655664
<citipy.citipy.City object at 0x000001F1EBBF24E0>,sentyabrskiy,ru,,,,,,
<citipy.citipy.City object at 0x000001F1EAC1D518>,qaqortoq,gl,60.72,30.2,50,75,4.7,1514652600
<citipy.citipy.City object at 0x000001F1EBE50CF8>,fairbanks,us,64.84,-22.01,74,1,3.53,1514653080
<citipy.citipy.City object at 0x000001F1EAE078D0>,sorong,id,-0.86,82.03,100,8,7.11,1514655904
<citipy.citipy.City object at 0x000001F1EC2395F8>,saleaula,ws,,,,,,
